
   INFO  Server running on [http://127.0.0.1:1111].  

  Press Ctrl+C to stop the server

  2026-04-10 22:42:40 /api/v1/simulations .............................. ~ 1s
  2026-04-10 22:42:48 /api/v1/simulations ........................ ~ 501.67ms
  2026-04-10 22:43:20 /dashboard ................................. ~ 524.85ms
  2026-04-10 22:43:48 /dashboard ................................... ~ 0.57ms
  2026-04-10 22:43:55 /api/v1/simulations .......................... ~ 0.18ms
  2026-04-10 22:44:00 /api/v1/simulations .......................... ~ 0.13ms
  2026-04-10 22:43:48 /dashboard ...................................... ~ 35s
  2026-04-10 22:44:31 /api/v1/simulations .......................... ~ 0.51ms
  2026-04-10 22:44:35 /api/v1/simulations .......................... ~ 0.21ms
  2026-04-10 22:44:39 /api/v1/portfolios ......................... ~ 505.42ms
  2026-04-10 22:44:44 /api/v1/portfolios ......................... ~ 505.01ms
  2026-04-10 22:44:24 /dashboard ...................................... ~ 46s
  2026-04-10 22:45:27 /api/v1/portfolios ........................... ~ 0.39ms
  2026-04-10 22:46:04 /api/v1/payments ............................. ~ 1.86ms
  2026-04-10 22:45:10 /dashboard ...................................... ~ 58s
  2026-04-10 22:43:20 .............................................. ~ 2m 58s
  2026-04-10 22:46:08 /dashboard ...................................... ~ 11s
  2026-04-10 22:46:20 / ................................................ ~ 3s

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:1111].  

  Press Ctrl+C to stop the server


   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:1111].  

  Press Ctrl+C to stop the server

  2026-04-10 22:47:16 / .......................................... ~ 504.10ms
  2026-04-10 22:47:17 /assets/index-BQZK5jQP.js .................... ~ 0.20ms
  2026-04-10 22:47:17 /assets/index-C3PCybft.css ................... ~ 0.69ms
  2026-04-10 22:47:17 /api/v1/captcha .............................. ~ 0.17ms
  2026-04-10 22:47:30 /api/v1/login .............................. ~ 503.57ms
  2026-04-10 22:47:47 /dashboard ................................... ~ 0.81ms
  2026-04-10 22:47:47 /login ....................................... ~ 0.17ms
  2026-04-10 22:47:49 /favicon.ico ................................. ~ 0.21ms
  2026-04-10 22:48:00 /login ....................................... ~ 0.59ms
  2026-04-10 22:48:00 /dashboard ................................... ~ 4.81ms
  2026-04-10 22:48:01 /favicon.ico ................................. ~ 0.28ms
  2026-04-10 22:48:04 /favicon.ico ................................. ~ 0.20ms
  2026-04-10 22:47:38 ............................................... ~ 2m 8s
  2026-04-10 22:49:55 /dashboard ................................. ~ 504.36ms
  2026-04-10 22:49:55 /favicon.ico ............................... ~ 504.14ms
  2026-04-10 22:50:02 /payment ..................................... ~ 0.73ms
  2026-04-10 22:50:03 /assets/index-C3PCybft.css ................... ~ 0.13ms
  2026-04-10 22:50:02 /assets/index-BQZK5jQP.js .................... ~ 0.96ms
  2026-04-10 22:50:03 /api/v1/me ................................... ~ 0.17ms
  2026-04-10 22:50:04 .............................................. ~ 1m 45s
  2026-04-10 23:01:20 /dashboard ................................. ~ 523.44ms
  2026-04-10 23:01:20 /favicon.ico ..................................... ~ 2s
  2026-04-10 23:04:21 /dashboard ................................... ~ 4.15ms
  2026-04-10 23:04:21 /login ....................................... ~ 0.06ms
  2026-04-10 23:04:35 /dashboard ................................... ~ 0.21ms
  2026-04-10 23:04:35 /favicon.ico ............................... ~ 556.55ms
  2026-04-10 23:04:50 /login ..................................... ~ 500.62ms
  2026-04-10 23:04:50 /dashboard ................................... ~ 0.10ms
  2026-04-10 23:08:53 /dashboard .................................. ~ 57.49ms
  2026-04-10 23:08:53 /favicon.ico ..................................... ~ 1s
  2026-04-10 23:25:33 /dashboard ................................. ~ 508.85ms
  2026-04-10 23:25:33 .............................................. ~ 2m 26s
  2026-04-10 23:28:00 /dashboard ................................... ~ 0.21ms
  2026-04-10 23:28:00 .............................................. ~ 2m 43s
  2026-04-10 23:30:43 /dashboard ................................... ~ 0.08ms
  2026-04-10 23:30:43 ............................................... ~ 3m 4s
  2026-04-10 23:35:05 /dashboard ................................... ~ 2.31ms
  2026-04-10 23:35:06 /favicon.ico ..................................... ~ 2s
  2026-04-10 23:35:21 /dashboard ................................... ~ 0.25ms
  2026-04-10 23:35:21 /favicon.ico ..................................... ~ 1s
  2026-04-10 23:35:25 /logout ...................................... ~ 0.19ms
  2026-04-10 23:35:25 /login ....................................... ~ 0.16ms
  2026-04-10 23:35:25 /favicon.ico ................................. ~ 0.13ms
  2026-04-10 23:35:40 /login ..................................... ~ 502.63ms
  2026-04-10 23:35:41 /dashboard ................................... ~ 0.07ms
  2026-04-10 23:35:41 /favicon.ico ................................. ~ 0.15ms
  2026-04-10 23:35:55 /dashboard ................................... ~ 3.62ms
  2026-04-10 23:35:55 /favicon.ico ............................... ~ 500.66ms
  2026-04-10 23:35:57 /favicon.ico ................................. ~ 0.25ms
  2026-04-10 23:36:47 /dashboard ................................... ~ 1.88ms
  2026-04-10 23:36:47 /favicon.ico ..................................... ~ 1s
  2026-04-10 23:38:36 /dashboard ................................... ~ 0.87ms
  2026-04-10 23:38:36 /favicon.ico ..................................... ~ 1s
  2026-04-10 23:38:47 /dashboard ................................... ~ 0.40ms
  2026-04-10 23:38:47 /favicon.ico ............................... ~ 502.22ms
  2026-04-10 23:39:13 /dashboard ................................... ~ 1.14ms
  2026-04-10 23:39:13 /favicon.ico ............................... ~ 502.20ms
  2026-04-10 23:39:43 /dashboard ................................. ~ 502.01ms
  2026-04-10 23:39:43 /dashboard ...................................... ~ 38s
  2026-04-10 23:40:21 /favicon.ico ............................... ~ 504.22ms
  2026-04-10 23:44:47 /dashboard ................................... ~ 2.02ms
  2026-04-10 23:44:47 /favicon.ico ............................... ~ 505.51ms
  2026-04-10 23:44:57 /api/v1/captcha ............................ ~ 500.86ms
  2026-04-10 23:44:58 /api/v1/captcha .............................. ~ 0.09ms
  2026-04-10 23:45:10 /api/v1/login ................................ ~ 0.18ms
  2026-04-10 23:45:10 /api/v1/captcha .............................. ~ 0.15ms
  2026-04-10 23:44:56 .............................................. ~ 1m 52s
  2026-04-10 23:50:24 / .......................................... ~ 607.55ms
  2026-04-10 23:50:24 /assets/index-DR89kFEU.css ................... ~ 0.17ms
  2026-04-10 23:50:24 /assets/index-BE2xzawI.js .................. ~ 619.21ms
  2026-04-10 23:50:24 /api/v1/me ................................... ~ 0.08ms
  2026-04-10 23:50:24 /favicon.ico ................................. ~ 0.20ms
  2026-04-10 23:50:24 /api/v1/captcha .............................. ~ 0.18ms
  2026-04-10 23:50:24 /favicon.ico ............................... ~ 502.48ms
  2026-04-10 23:50:31 /api/v1/login ................................ ~ 0.31ms
  2026-04-10 23:50:31 /api/v1/captcha .............................. ~ 0.12ms
  2026-04-10 23:50:47 /api/v1/login ................................ ~ 0.53ms
  2026-04-10 23:50:47 /api/v1/captcha ............................ ~ 504.37ms
  2026-04-10 23:53:06 /api/v1/login ................................ ~ 2.80ms
  2026-04-10 23:53:06 /api/v1/captcha .............................. ~ 0.06ms
  2026-04-10 23:53:11 /api/v1/login ................................ ~ 0.22ms
  2026-04-10 23:53:12 /api/v1/captcha .............................. ~ 0.06ms
  2026-04-10 23:54:52 /api/v1/login .............................. ~ 503.00ms
  2026-04-10 23:54:52 /api/v1/captcha .............................. ~ 0.05ms
  2026-04-10 23:55:09 /api/v1/login ................................ ~ 0.14ms
  2026-04-10 23:55:09 /api/v1/captcha .............................. ~ 0.07ms
  2026-04-10 23:55:29 /dashboard ................................. ~ 504.55ms
  2026-04-10 23:55:29 /favicon.ico ..................................... ~ 1s
  2026-04-10 23:55:38 /logout ...................................... ~ 6.92ms
  2026-04-10 23:55:38 /login ....................................... ~ 0.36ms
  2026-04-10 23:55:38 /favicon.ico ................................. ~ 0.13ms
  2026-04-10 23:55:52 /login ....................................... ~ 0.73ms
  2026-04-10 23:55:52 /login ....................................... ~ 0.07ms
  2026-04-10 23:55:53 /favicon.ico ................................. ~ 0.53ms
  2026-04-10 23:56:34 /login ....................................... ~ 0.48ms
